description,url,localisation,prix,agence,titre,infos
"paris 6eme arrondissement, metro placide ou renne, proche des jardins du luxembourg et de l'universite pantheon assas ii, cet appartement entierement renove vous offre des volumes agreables et une decoration contemporaine. il dispose d'un sejour avec une cuisine ouverte equipee, trois chambres et un coin bureau. la salle de bain et douche est agreable. ideal jeune famille ou investisseur. possibilite location saisonniere ou activite professionnelle. nombre de lots de la copropriete : 152, montant moyen annuel quote part budget previsionnel : 5268 , , . reseau immobilier capifrance - votre agent commercial lydia bouillon 06 13 59 17 24 - voir photos (ref.385028) sur www.capifrance.frnom du negociateur : bouillonlydia bien en copropriete : 1 nombre de lots de la copropriete : 152 montant moyen des charges annuelles : 1756 euros procedure sur le syndicat des coproprietaires : 0 statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/prestige/appartement/paris-75006/1203825541A1KIVHAP000,,850000,sas capi,vente appartement 4 pieces 77 m2 environ paris 6 (75006),"nombre de pieces : 4, surface : 77m, - nombre de chambre(s) : 3"
"exclusivite, institutionel rare adresse d'exception; place michel debre 'c croix rouge' entre la rue du four et la rue du vieux colombier. au coeur du 6eme arrondissement! a deux pas de l'hotel lutetia et du bon marche. dans un bel immeuble haussmannien de 14 lots. hall et cage d'escaliers rehabilites,. beaucoup de charme pour cet appartement lunimeux de 4 pieces renove au 3 eme etage avec une vue degagee compose d'un beau sejour d'angle avec balcon, d'une salle a manger, d'une cuisine, de deux chambres de 18 et 15m2 dont une avec salle d'eau privative, d'une sdb et de 2 wc's dont un separe. expo sud, sud ouest! parquet, moulures, cheminees, double vitrage neuf. charges mensuelles: 305 euros/ mois cliquez ici pour nous contacter",http://www.paruvendu.fr/immobilier/prestige/appartement/paris-75006/1204379067A1KIVHAP000,,2040000,locare,vente appartement 4 pieces 120 m2 environ paris 6 (75006),"nombre de pieces : 4, surface : 120m, balcon / terrasse, emission de gaz a effet de serre : 45 kgeq/m2.an, consommation energetique : 246 kwh/m2 an"
"au dernier etage avec ascenseur dans un immeuble avec gardien et digicode (ravalement tres recent) studio ""pret a vivre"" comprenant une piece avec coin cuisine amenagee et lit convertible (belle prestation) une salle de douche et wc- excellent etat - ideal pied a terre ou investissement locatif a haut rendement.parking public a 20m surface carrez 8.60m2 - volume 22.45m3- charges annuelles 200 reseau immobilier capifrance - votre agent commercial veronique le lay 06 17 42 14 35 - voir photos (ref.388282) sur www.capifrance.frnom du negociateur : le layveronique bien en copropriete : 1 montant moyen des charges annuelles : 201 euros procedure sur le syndicat des coproprietaires : 0 statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75006/1205102149A1KIVHAP000,,155000,sas capi,vente appartement 1 piece 10 m2 environ paris 6 (75006),"nombre de pieces : 1, surface : 10m, parking / garage, ascenseur handicape, jardin / terrain, - etage : 5"
"au coeur du 6e arr., appartement 55 m2 et balcon 5 m2, refait a neuf, au 3e etage d'un immeuble moderne, avec vue sur le bon marche.il se compose d'une entree, un sejour avec espace cuisine et un balcon, une chambre et une belle salle de douche / toilette.nombreux rangements. parquet en chene, double vitrage.nous contacter pour organiser une visite, ou obtenir d'avantages d'informations.",http://www.paruvendu.fr/immobilier/prestige/appartement/paris-75006/1205090270A1KIVHAP000,,790000,cesar & brutus,vente appartement 2 pieces 57 m2 environ paris 6 (75006),"nombre de pieces : 2, surface : 57m, balcon / terrasse"
"paris xiiieme - 3 pieces en etage eleve avec exterieurs et box - bibliotheque francois mitterrand - efficity l'agence immobiliere qui estime votre bien en ligne vous propose en exclusivite, ce 3 pieces de 70,82m2 loi carrez donnant sur un magnifique square privatif arbore de plus de 2000 m2 avec jardin d'enfants, emplacement velos et autres prestations de qualite. ce bel appartement se compose d'une entree, d'un grand sejour et cuisine ouverte de pres de 30m2 donnant sur un balcon de 7m2, de 2 chambres au calme, d'une salle de bains, de wc separes, d'une cave. box en sous-sol accessible par ascenseur.- efficity sa, au capital de 270 983 - carte professionnelle t 12024 delivree par la prefecture de police de paris- siege : 100 bd du montparnasse 75014 paris- garantie financiere cegc pour un montant de 1640000,00- rcs : paris 497617746- kohei sakaguchi, agent commercial du reseau immobilier efficity est inscrit au rsac de creteil n537755233 ref annonce : 17709-10631nom du negociateur : sakaguchikohei honoraire a la charge de l'acquereur : 0 bien en copropriete : 1 nombre de lots de la copropriete : 186 montant moyen des charges annuelles : 3780 euros procedure sur le syndicat des coproprietaires : 0 statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/prestige/appartement/paris-75012/1205014913A1KIVHAP000,,621000,efficity,vente appartement 3 pieces 78 m2 environ paris 12 (75012),"nombre de pieces : 3, surface : 78m, ascenseur handicape, balcon / terrasse, jardin / terrain, - nombre de chambre(s) : 2, - etage : 7, - terrasse, - cave, emission de gaz a effet de serre : 36 kgeq/m2.an, consommation energetique : 157 kwh/m2 an"
"studio renove 2014 comprenant; salle d'eau avec wc; kitchenette avec l'ensemble des equipement (frigo, micro-ondes, cafetiere et ustensiles); penderie de rangement, canape convertible; porte blinde; televiseur, cadres decoratif. equipements complet pret a habiter ou a louer. le studio est situe en plein milieu de la rue de rennes, a proximite tous commerces, jardin du luxembourg, le bon marche et le metro a 50m. tres bonne rentabilite locative.",http://www.paruvendu.fr/immobilier/vente/petit-studio-meuble-et-renove-entierement-tout-equipe/particulier/1204204566A1KIVHAP000,,173000,annonce de particulier - paris (75015),vente appartement 1 piece 12 m2 environ paris 6 (75006),"nombre de pieces : 1, surface : 12m, jardin / terrain, - copropriete : oui, - standing : tres bon, - parquet, - chauffage individuel, - electrique, - etat general : tres bon, - etat de la plomberie : tres bon, - etat de l'electricite : tres bon, - etat du chauffage : tres bon, - etat des revetements muraux : tres bon, - etat des revetements sols : tres bon, - digicode, - concierge, - coin cuisine, - equipee, - meublee, - integree, - sejour separe : non, - salle a manger : non, - nombre de chambre(s) : 1, - nombre de salle(s) d'eau : 1, - nombre de wc : 1, - nombre de placard(s) : 1, - double vitrage, - cablage individuel, - surface du balcon en m2 : 12, - metro, - bus, - gare sncf, - commerces, - espaces verts"
"mandat favoriz. paris 14 eme alesia~dans un bel immeuble d'angle ancien d'excellent standing, nous vous proposons un charmant 3 pieces traversant, au calme, expose sud avec vue panoramique et degagee.~localise en etage eleve avec ascenseur et gardien, il dispose dans une belle distribution en etoile d'une entree, d'un sejour, deux chambre, une grande cuisine(possibilite 2eme chambre), une salle d'eau et des toilettes independants.~vendu avec cave. dpe vierge.~au pied de toutes commodites : commerces, loisirs, ecoles, metro, bus 28/38/62/68, tram et la traverse(513).~dpe vierge. bien en copropriete.~votre agence laforet paris 14e vous offre un projet archideco - home staging virtuel realise par un architecte d'interieur (proposition d'amenagement 3d non contractuelle). contactez-nous pour plus d'informations. reference mandat : 724.",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75014/1199917017A1KIVHAP000,,420000,e g immo,vente appartement 3 pieces 52 m2 environ paris 14 (75014),"nombre de pieces : 3, surface : 52m, ascenseur handicape"
"mandat exclusif. vous souhaitez devenir proprietaire? pour seulement 426 par mois*, cet appartement est pour vous.~situation exceptionnelle pour cette chambre en dernier etage avec kitchinette et douche. grande fenetre et piece a vivre tres lumineuse. ideal pied a terre ou investisseur. reference mandat : 123. honoraire a la charge de l'acquereur : non bien en copropriete : non procedure sur le syndicat des coproprietaires : nc",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75017/1205595182A1KIVHAP000,,82000,groupe babylone,vente appartement 1 piece 8 m2 environ paris 17 (75017),"nombre de pieces : 1, surface : 8m, jardin / terrain"
"paris 2eme - palais royal / opera- ligne directe 01 40 20 93 95 - dans un quartier charge d'histoire, a deux pas des jardins du palais royal, de l'avenue de l'opera et du jardin des tuileries, bel appartement de deux pieces comprenant une entree avec placard, un sejour, une chambre avec dressing, une cuisine equipee, une sdb et un wc independant. charme assure, poutres apparentes, nombreux rangements, aucun travaux a prevoir. ideal en pied a terre ou investissement locatif, a visiter rapidement! bien soumis au statut de copropriete 1 lot/6 quote-part previsionnel de 2680 /an. pas de procedure en cours. http://visiteol.blob.core.windows.net/videopros/42014/2000021208429.mp4 copropriete : nb de lots : 6 budget previsionnel a la charge du vendeur : 2680.0 euros/an",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75002/1201674095A1KIVHAP000,,499000,century 21 fortis immo,vente appartement 2 pieces 45 m2 environ paris 2 (75002),"nombre de pieces : 2, surface : 45m, jardin / terrain, - nombre de chambre(s) : 1, - etage : 2, emission de gaz a effet de serre : 29 kgeq/m2.an, consommation energetique : 190 kwh/m2 an"
"paris 2eme entre les metros etienne marcel et reaumur. dans une jolie copropriete, situe au 2eme etage, appartement 3 pieces, compose d'un large sejour, deux chambres, une cuisine et une salle de bain avec wc. appartement en bon etat. bien soumis au statut de la copropriete 1/101 lots. quote part du budget previsionnel 844/an(70/mois). une procedure en cours. copropriete : nb de lots : 101 budget previsionnel a la charge du vendeur : 844.0 euros/an",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75002/1203617017A1KIVHAP000,,435000,century 21 fortis immo,vente appartement 3 pieces 50 m2 environ paris 2 (75002),"nombre de pieces : 3, surface : 50m, - nombre de chambre(s) : 2, - etage : 2, emission de gaz a effet de serre : 4 kgeq/m2.an, consommation energetique : 144 kwh/m2 an"
"paris 2 eme - rue de la lune - ligne directe 01 44 88 68 68 - au sein d'un tres bel immeuble haussmannien dans une rue au calme et en retrait des nuisances, un appartement de type 4 pieces dans une petite copropriete (un appartement par palier), au 3eme etage, compose d'un sejour avec parquet ancien, moulures, cheminee, d'une salle a manger avec poele prussien, d'une belle cuisine dinatoire entierement amenagee et equipee, de deux chambres spacieuses et d'une salle de bain avec wc separe. belle hauteur sous plafond. appartement clair et calme. grande cave securisee. possibilite de creer une 3eme chambre. bien soumis au statut de la copropriete. 2 lots sur 29. pas de procedures. copropriete : nb de lots : 29 budget previsionnel a la charge du vendeur : 2720.0 euros/an",http://www.paruvendu.fr/immobilier/prestige/appartement/paris-75002/1203741965A1KIVHAP000,,870000,century 21 fortis immo,vente appartement 4 pieces 94 m2 environ paris 2 (75002),"nombre de pieces : 4, surface : 94m, - nombre de chambre(s) : 2, - etage : 3, emission de gaz a effet de serre : 41 kgeq/m2.an, consommation energetique : 176 kwh/m2 an"
"paris 2 eme - entre montorgueil et les grands boulevards - ligne directe 01 44 88 68 68 - un appartement de type grand studio, oriente est, au 2eme etage d'un immeuble ancien, compose d'une piece principale avec 2 fenetres en double vitrage donnant sur une rue au calme, une cuisine entierement equipee et amenagee avec ouverture sur cour et une salle d'eau avec wc separe. charme de l'ancien avec poutres apparentes, parquet au sol et peinture refaite recemment. coup de coeur . bien soumis au statut de la copropriete. 1 lot sur 10. quote part du budget previsionnel de 1522 /an - une procedure en cours a l'encontre de l'immeuble mitoyen. copropriete : nb de lots : 10 budget previsionnel a la charge du vendeur : 1522.0 euros/an procedure(s) en cours: demande de designation d'un mandataire ad hoc ( impayes de charges)",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75002/1204453416A1KIVHAP000,,295000,century 21 fortis immo,vente appartement 1 piece 34 m2 environ paris 2 (75002),"nombre de pieces : 1, surface : 34m, - etage : 2, emission de gaz a effet de serre : 8 kgeq/m2.an, consommation energetique : 270 kwh/m2 an"
"plein soleilstudio 27m2 avec acces petite terrasse.1er etage sans vis-a-vis.plein soleil. hauteur plafond kitchenette, salle de bain et toilette separees avec leur fenetre. entree passage des panoramas 2eme arrondissement beaucoup de charme. calme.",http://www.paruvendu.fr/immobilier/vente/studio-charme-et-soleil/particulier/1204873392A1KIVHAP000,,275000,annonce de particulier - paris (75002),vente appartement 1 piece 27 m2 carrez paris 2 (75002),"nombre de pieces : 1, surface : 27m, - surface loi carrez en m2 : 27, emission de gaz a effet de serre : 33 kgeq/m2.an, consommation energetique : 143 kwh/m2 an"
"paris 2eme - bourse - sentier - ligne directe 01 40 20 93 95 - rue des jeuneurs, dans une copropriete entierement refaite, local commercial sur trois niveaux de 102 m2 au total (72 m2 carrez). au rez de chaussee, salle de reception de 48 m2 pouvant accueillir plusieurs bureaux, au 1er etage belle salle de reunion de 24 m2 et au sous sol une grande salle commune amenagee avec une cuisine, une salle de dejeuner et des sanitaires. les locaux sont en excellent etat et entierement equipes, activite autorisee : tout commerce sauf nuisance. bien soumis au statut de la copropriete, 3/16 lots. budget previsionnel 2213  / an. pas de procedure en cours. copropriete : nb de lots : 16 budget previsionnel a la charge du vendeur : 2200.0 euros/an",http://www.paruvendu.fr/immobilier/prestige/appartement/paris-75002/1204218108A1KIVHAP000,,699000,century 21 fortis immo,vente appartement 4 pieces 102 m2 environ paris 2 (75002),"nombre de pieces : 4, surface : 102m, emission de gaz a effet de serre : 18 kgeq/m2.an, consommation energetique : 560 kwh/m2 an"
"paris 2eme arrondissement, appartement t2 de 34 m2 (31 m2 carrez) a deux pas de la bourse, pour les amateurs du paris authentique ! cet appartement est situe dans un immeuble dont l' escalier de bois est classe monument historique.en parfait etat, il se compose d'une entree sur couloir desservant une chambre avec salle d'eau, un wc separe, une grande piece principale avec cuisine ouverte. un veritable jeu de contraste avec les poutres apparentes et la luminosite de cet appartement au 5eme etage, avec vue tranquille sur les toits en zinc de paris. reseau immobilier capifrance - votre agent commercial viviane marciszewer 06 58 21 33 60 - voir photos (ref.375416) sur www.capifrance.frnom du negociateur : marciszewerviviane statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75002/1202608670A1KIVHAP000,,339000,sas capi,vente appartement 2 pieces paris 2 (75002),"nombre de pieces : 2, surface : 0m, - balcon, - box"
"paris 2eme - ligne directe 01 53 00 98 98 - au deuxieme etage, 2 pieces de 53m2 en tres bon etat qui comprend : sejour avec cuisine ouverte, chambre sur cour, salle de bain, dressing. lumineux et vue degagee. proche transports (ligne 4, 8, 9). une cave. bien soumis au statut de la copropriete. quote-part du budget previsionnel annuel 1636. 1 lot. copropriete : nb de lots : 20 budget previsionnel a la charge du vendeur : 1500.0 euros/an",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75002/1205122911A1KIVHAP000,,455000,century 21 fortis immo,vente appartement 2 pieces 52 m2 environ paris 2 (75002),"nombre de pieces : 2, surface : 52m, - nombre de chambre(s) : 1, - etage : 2, emission de gaz a effet de serre : 328 kgeq/m2.an, consommation energetique : 10 kwh/m2 an"
"tres beau t2 bien agence, calme et lumineux comprenant une belle entree avec penderie et placards, un sejour avec une grande baie vitree, une cuisine dinatoire independante, une chambre, une sdb avec wc separes.~bien soumis a la copropriete, lots dans la copropriete, charges courantes annuelles 2124 , consulter l'agence pour connaitre les informations relatives au syndicat de copropriete.~statut negociateur.~mandat n117/il reference mandat : 117/acl/cs. honoraire a la charge de l'acquereur : non bien en copropriete : oui procedure sur le syndicat des coproprietaires : nc",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75017/1205596167A1KIVHAP000,,456750,at home confidentiel,vente appartement 2 pieces 49 m2 environ paris 17 (75017),"nombre de pieces : 2, surface : 49m"
"paris ix - exclusivite - 5 pieces - rue de liege - 2eme etage - calme - vue sur jardin - belle hauteur sous plafond - efficity l'agence immobiliere a commission reduite vous propose cet appartement familial de 146 m2 situe dans un immeuble haussmannien. entree, salon spacieux, 3 grandes chambres (possibilite 4), bureau de 23 m2, cuisine, salle de bains, salle d'eau, 2 wc, 1 cave. proximite immediate du metro liege et des commerces.- efficity sa, au capital de 270 983 - carte professionnelle t 12024 delivree par la prefecture de police de paris- siege : 100 bd du montparnasse 75014 paris- garantie financiere cegc pour un montant de 1640000,00- rcs : paris 497617746- jimmy delage, agent commercial du reseau immobilier efficity est inscrit au rsac de st quentin yvelines n808595144 ref annonce : 17408-10811nom du negociateur : delagejimmy honoraire a la charge de l'acquereur : 1 pourcentage des honoraires a la charge de l'acquereur : 1 % bien en copropriete : 1 nombre de lots de la copropriete : 47 montant moyen des charges annuelles : 2400 euros procedure sur le syndicat des coproprietaires : 0 statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/prestige/appartement/paris-75017/1205642424A1KIVHAP000,,1500000,efficity,vente appartement 5 pieces 151 m2 environ paris 17 (75017),"nombre de pieces : 5, surface : 151m, jardin / terrain, - nombre de chambre(s) : 4, - etage : 2, - cave, emission de gaz a effet de serre : 39 kgeq/m2.an, consommation energetique : 157 kwh/m2 an"
"paris 17eme arrondissement, metro pereire, joli 2 pieces au 5eme et dernier etage sans ascenseur. son emplacement est ideal, a 2 pas du metro (ligne 3) et des commerces. il se compose d'une belle entree lumineuse avec interphone, d'une cuisine independante fermee, d'un salon avec parquet et cheminee, d'une chambre, d'une salle d'eau, dune toilette separee. chauffage individuel electrique. ideal premiere acquisition ou investisseur. nombre de lots dans la copropriete 27, montant moyen annuel quote-part budget previsionnel 720; les honoraires ttc sont inclus et sont a la charge de l'acquereur, soit 2,78% du prix du bien. reseau immobilier capifrance - votre agent commercial sylvie lorgere 06 32 73 41 59 - voir photos (ref.399154) sur www.capifrance.frnom du negociateur : lorgeresylvie honoraire a la charge de l'acquereur : 1 bien en copropriete : 1 nombre de lots de la copropriete : 27 montant moyen des charges annuelles : 720 euros procedure sur le syndicat des coproprietaires : 0 statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75017/1205645037A1KIVHAP000,,370000,sas capi,vente appartement 2 pieces 40 m2 environ paris 17 (75017),"nombre de pieces : 2, surface : 40m, - nombre de chambre(s) : 1, - etage : 5, - cave"
"a proximite de la porte de vanve et du tramway t3a. situe au 1er etage d'une residence ancienne, appartement 2 pieces de 32 m2 .comprenant entree, sejour, coin cuisine, salle de douche, wc, chambre.cave au sous sol.chauffage central. charges: 100/ mois.prix : 265.000 fai.merci de contacter le 0149590849 ou 0652894447. honoraire a la charge de l'acquereur : nonpourcentage des honoraires a la charge de l'acquereur : bien en copropriete : ouinombre de lots de la copropriete :montant moyen des charges annuelles : 1200procedure sur le syndicat des coproprietaires : detail sur la procedure en cours :",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75014/1205264264A1KIVHAP000,,265000,arm immo,vente appartement 2 pieces 32 m2 carrez paris 14 (75014),"nombre de pieces : 2, surface : 32m, - nombre de chambre(s) : 1, - type de cuisine : coin cuisine, - nombre de salle(s) d'eau : 1, - chauffage : chauffage collectif, - etage : 1, - unite surface : m2, - digicode, - concierge, - cave, - commerces, - ecoles, emission de gaz a effet de serre : 42 kgeq/m2.an, consommation energetique : 234 kwh/m2 an"
"i@d france - alex larue (06 62 10 22 80) vous propose : dans un bel immeuble recent, face au parc jardin de bercy a deux pas du cour saint emilion, proche tous transports, au 5e etage avec ascenseur, un grand 2 pieces lumineux et calme, vue degagee, living, chambre, salle de bain, cuisine independante, balcon de 7 m2 environ.cave et parking en sous sol.la presente annonce immobiliere vise 1 lot principal situe dans une copropriete formant 40 lots au total ne faisant l'objet d'aucune procedure en cours et d'un montant de charges denviron 117.33  par mois (soit 1408  annuel) declare par le vendeur.le prix de vente est exprime frais dagence inclus (f.a.i.) dont la valeur est equivalente a 2,27% ttc du prix de vente. information d'affichage energetique sur ce bien : dpe e indice 235 et ges b indice 8. la presente annonce immobiliere a ete redigee sous la responsabilite editoriale de m. alex larue (id 12523), agent commercial mandataire en immobilier immatricule au registre special des agents commerciaux (rsac) du tribunal de commerce de saint raphael sous le numero 804 936 938retrouvez tous nos biens sur notre site internet www.iadfrance.com honoraire a la charge de l'acquereur : non bien en copropriete : oui nombre de lots de la copropriete : 120 montant moyen des charges annuelles : 1408 euros procedure sur le syndicat des coproprietaires : non",http://www.paruvendu.fr/immobilier/vente/default/vente-appartement-2-pieces/1205868654A1KIVHAP000,,440000,i@d france,vente appartement 2 pieces 51 m2 environ paris 12 (75012),"nombre de pieces : 2, surface : 51m, parking / garage, ascenseur handicape, balcon / terrasse, jardin / terrain, - nombre de chambre(s) : 1, - etage : 5, - balcon, - parking, emission de gaz a effet de serre : 8 kgeq/m2.an, consommation energetique : 235 kwh/m2 an"
"arnaud, votre conseiller independant dr house immo, a votre ecoute au 0678134689 vous propose appartement de 110 m2 dans une belle copropriete entierement sur cour. cet appartement comprend de tres belles prestations avec des materiaux de qualites.il est compose d'un double sejour avec cuisine americaine equipee de 50 m2. 2 belles chambres sur cour. 2 dressings. 1 salle de bain avec douche et baignoire balneo et wc separe.1 box et 1 cave inclus.immeuble tres bien entretenu avec gardien et appartement en excellent etat.",http://www.paruvendu.fr/immobilier/prestige/appartement/bel-appartement-quartier-ternes/1205500382A1KIVHAP000,,1030000,dr house,vente appartement 3 pieces 110 m2 environ paris 17 (75017),"nombre de pieces : 3, surface : 110m, emission de gaz a effet de serre : 45 kgeq/m2.an, consommation energetique : 192 kwh/m2 an"
