description,url,localisation,prix,agence,titre,infos
"vends maison de campagne a 20minutes de l'a75, 4 heures de paris et 3 heures de montpellier. maison habitable de suite, tres ensoleillee dans un bourg avec tous services, boulanger, boucher, pharmacie, medecin, 2 epiceries, ecole primaire, college et ramassage pour le lycee. elle se compose de 3 chambres (possibilite 4) salle de bain 2 wc cuisine, salon salle a manger, chauffage au fioul, garage et superbe cave voutee,grenier amenageable.ideale retraite ou pour changement de vie. (vtt, ballades en foret, champignons, stations de ski du sancy a 45 minutes). contact uniquement par telephone merci.",http://www.paruvendu.fr/immobilier/vente/maison-de-campagne-en-pierre/particulier/1197976318A1KIVHMN000,,85000,annonce de particulier - st germain l herm (63630),vente maison 5 pieces 100 m2 environ paris 12 (75012),"nombre de pieces : 5, surface : 100m, emission de gaz a effet de serre : 50 kgeq/m2.an, consommation energetique : 400 kwh/m2 an"
"a 2 minutes du parc national du vexin. 50km de paris en normandie. proche des transports en communs bonnieres 12 minutes environ et des grands axes routiers a13,a15.dans une ville dynamique comprenant toutes commodites des ecoles aux commerces, hyper , banques, restaurants ....une maison qui sort de l&039;ordinaire par un souci de decoration et de bon gout (exterieur comme interieur).2 salles a manger, immense salon, grande cuisine, buanderie ,espace sport, piscine semi-enterree, 3 belles chambres dont une suite, bureaux.... le tout dans un etat irreprochable.ideale pour se ressourcer ou simplement y vivre. contactez votre conseiller safti : stephen coma, tel. : 06 45 55 52 20, e-mail : stephen.coma@safti.fr - agent commercial immatricule au rsac de evreux sous le numero 813 083 557surface terrain : 350 ma2.",http://www.paruvendu.fr/immobilier/vente/default/une-maison-de-campagne-ideale/1205328083A1KIVHMN000,,315000,safti,vente maison 9 pieces 150 m2 environ paris 17 (75017),"nombre de pieces : 9, surface : 150m, jardin / terrain, - nombre de chambre(s) : 3, - surface du terrain : 350, - piscine, - parking, emission de gaz a effet de serre : 28 kgeq/m2.an, consommation energetique : 182 kwh/m2 an"
"paris xveme - rue du commerce - comme une maison - 4 pieces - refait a neuf par architecte - patio de 25m2- efficity l'agence immobiliere qui estime votre bien en ligne vous propose ce 4 pieces au calme et lumineux de 95m2 carrez avec un patio de 25m2. cet appartement se compose d'une salle a manger, d'un sejour donnant sur la terrasse interieur, de 2 chambres avec possibilite d'une 3eme, d'une cuisine ouverte, d'une salle de bain et d'une salle d'eau. au pied des commerces et des transports- efficity sa, au capital de 270 983 - carte professionnelle t 12024 delivree par la prefecture de police de paris- siege : 100 bd du montparnasse 75014 paris- garantie financiere cegc pour un montant de 1640000,00- rcs : paris 497617746- david dray, agent commercial du reseau immobilier efficity est inscrit au rsac de nanterre n394117501 ref annonce : 17918-10424nom du negociateur : draydavid honoraire a la charge de l'acquereur : 0 bien en copropriete : 1 nombre de lots de la copropriete : 22 montant moyen des charges annuelles : 1800 euros procedure sur le syndicat des coproprietaires : 0 statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/prestige/maison/paris-75015/1204354834A1KIVHMN000,,965000,efficity,vente maison 4 pieces 110 m2 environ paris 15 (75015),"nombre de pieces : 4, surface : 110m, balcon / terrasse, - nombre de chambre(s) : 3, - terrasse, emission de gaz a effet de serre : 35 kgeq/m2.an, consommation energetique : 153 kwh/m2 an"
"maison de plain-pied, surface habitable 187m2, construite en 2006, 3 chambres et 2 salles de bains, surface du terrain 934m2, grand garage pour 2 voitures, cuisine equipee, grand jardin magnifique cloturee. cette maison se trouve a proximite des restaurants, des centres commerciaux, des parcs et a seulement 15 minutes de la plage.parfait pour residence secondaire ou investissement locatif 11% brut.nous nous occupons de la gestion si vous le desirer.prix 117 000 euro",http://www.paruvendu.fr/immobilier/vente/stop-affaire-maison-en-floride-a-palm-coast/particulier/1196625318A1KIVHMN000,,117000,annonce de particulier,vente maison 9 pieces 187 m2 environ paris 16 (75016),"nombre de pieces : 9, surface : 187m, jardin / terrain"
"a 50 km de la porte maillot, 12 min de giverny (claude monet), 15 min gare .cette demeure idealement situee dans un cadre bucolique, en ville beneficiant de toutes commodites.un potentiel qui ne demande qu'a etre exploite .vous rentrez de suite dans les 70 m2 et vous pouvez envisager dans un second temps d'exploiter dans les combles de l'aile droite (environ 40m2 habitable supplementaire).vous pourrez rever au futur grace a une multitude de possibilites.residence principale ou secondaire.ne laissez pas passer cette opportunite!! contactez votre conseiller safti : stephen coma, tel. : 06 45 55 52 20, e-mail : stephen.coma@safti.fr - agent commercial immatricule au rsac de evreux sous le numero 813 083 557surface terrain : 980 ma2.",http://www.paruvendu.fr/immobilier/vente/maison/longere-normande-de-caractere/1205528871A1KIVHMN000,,158391,safti,vente maison 6 pieces 70 m2 environ paris 17 (75017),"nombre de pieces : 6, surface : 70m, jardin / terrain, - nombre de chambre(s) : 2, - surface du terrain : 980, - terrasse, - parking, emission de gaz a effet de serre : 83 kgeq/m2.an, consommation energetique : 379 kwh/m2 an"
"charmante maison atypique avec tour situe a 5 min de la n4 et a 10 min de coulommiers, maison de 180 m2 sur 750 m2 de terrain cloture. rdc : entree , cuisine amenagee et equipee avec cheminee (style barbecue) ouverte sur salon/sejour de 59 m2 avec cheminee insert mezzanine sous escalier de la tour avec porte donnant vers le sous/sol. 1er etage: 1 pallier desservant 4 chambres, sdb avec grande baignoire d'angle , cabine douche bidet/lavabo, wc avec lave mains. 2 etage pallier desservant 2 chambres d'amis sous/sol: 1 garage,bureau, buanderie, chaufferie , salle de bains contactez alioune dienna au 06 58 12 51 73surface terrain : 750 ma2. honoraire a la charge de l'acquereur : non bien en copropriete : non procedure sur le syndicat des coproprietaires : non",http://www.paruvendu.fr/immobilier/vente/maison/charmante-maison-atypique-avec-tour-10-min-de-coulommiers%21/1205469448A1KIVHMN000,,349000,bl@gents,vente maison 9 pieces 184 m2 environ paris 16 (75016),"nombre de pieces : 9, surface : 184m, parking / garage, jardin / terrain, - nombre de chambre(s) : 6, - surface du terrain : 750, - terrasse, - box, emission de gaz a effet de serre : 41 kgeq/m2.an, consommation energetique : 239 kwh/m2 an"
"maison neuve de 4 pieces (79m2) a chennevieres-sur-marne.bien immobilier d'exception.maison recente de 2013 dans le secteur calme ""marne-coteaux-nord"" a chennevieres-sur-marne.panneaux solaires installes d'ou une importante economie energetique.superficie de 79m2 avec : sejour ouvert sur cuisine equipee neuve, 3 chambres, entree, coin rangement 2 wc, salle de bain, jardin, garage + deux place de parking exterieur.aucun travaux a prevoir.a visiter d'urgence !prix : 336.600  frais d'agence inclusagence immobiliere home in time (fnaim)",http://www.paruvendu.fr/immobilier/vente/maison/maison-recente-4-pieces-a-chennevieres-sur-marne/1205654431A1KIVHMN000,,336600,home in time,vente maison 4 pieces 79 m2 carrez a chennevieres-sur-marne (94430),"nombre de pieces : 4, surface : 79m, parking / garage, jardin / terrain, - nombre de chambre(s) : 3, - type de cuisine : cuisine americaine"
"quartier pavillonnaire de la mutualite a st-denis, a 10/15min a pied du metro universite (ligne 13). cette maison construite en 1988 est en excellent etat et comprend : - au 1er etage : entree, sejour de 33m2 avec insert donnant sur une terrasse plein sud, cuisine independante equipee, wc, - au 2eme etage : 3 chambres dont une avec salle d'eau, salle de bain, - au rdc : garage de 27m2, chaufferie, et f2 independant de 28m2 (loyer possible de 600 environ). joli jardin sans vis a vis a l'arriere, avec cabanon. proche de toutes commodites (ecoles, commerces, parcs). coup de coeur assure ! agent commercial independant rsac n 535 193 197 ville du greffe : bobigny megagence - perrot vincent - 06 15 33 10 99 - agent commercial independant -plus d'informations sur www.megagence.com (ref. 7200121901) honoraire a la charge de l'acquereur : non bien en copropriete : non montant moyen des charges annuelles : 0.00 euros procedure sur le syndicat des coproprietaires : non",http://www.paruvendu.fr/immobilier/vente/maison/saint-denis-93200/1205742713A1KIVHMN000,,399000,megagence,vente maison 6 pieces 134 m2 environ a saint denis (93200),"nombre de pieces : 6, surface : 134m, parking / garage, balcon / terrasse, jardin / terrain, - nombre de chambre(s) : 4, - surface du terrain : 225, - terrasse, - parking, emission de gaz a effet de serre : 28 kgeq/m2.an, consommation energetique : 213 kwh/m2 an"
"maison de 109 m2, composee au rdc d'un sejour + cuisine ouverte de 43 m2, 1 chambre, une salle d'eau + wc + cellier. a l'etage, 3 chambres avec placards et une salle de bains + wc. maison rt 2012 a haute isolation thermique, equipee d'un systeme de detection incendie, de gestion des consommations d'energie et d'un chauffage intelligent. terrain proche du centre ville, quartier tres recherche, tout pres des ecoles et des commerces. prix indicatif hors assurances, hors garanties, hors peintures, hors options, hors raccordements, hors branchements et hors frais de notaire. terrain selectionne et vu pour vous sous reserve de disponibilite et au prix indique par notre partenaire foncier. visuels non contractuels. (voir details en agence).",http://www.paruvendu.fr/immobilier/vente/default/ville-00000/1205869737A1KIVHMN000,,350400,maisons pierre - belle epine,vente maison 6 pieces 109 m2 environ a orly (94310),"nombre de pieces : 6, surface : 109m, jardin / terrain, - nombre de chambre(s) : 4"
"maison de 105 m2, composee au rdc d'un grand espace sejour + cuisine de 40 m2, une salle d'eau + wc + cellier + garage integre. a l'etage, 4 chambres avec placards et une salle de bains + wc. maison rt 2012 a haute isolation thermique, equipee d'un systeme de detection incendie, de gestion des consommations d'energie et d'un chauffage intelligent. terrain proche du centre ville, quartier tres recherche, tout pres des ecoles et des commerces. prix indicatif hors assurances, hors garanties, hors peintures, hors options, hors raccordements, hors branchements et hors frais de notaire. terrain selectionne et vu pour vous sous reserve de disponibilite et au prix indique par notre partenaire foncier. visuels non contractuels. (voir details en agence).",http://www.paruvendu.fr/immobilier/vente/default/ville-00000/1205869739A1KIVHMN000,,352900,maisons pierre - belle epine,vente maison 6 pieces 105 m2 environ a orly (94310),"nombre de pieces : 6, surface : 105m, parking / garage, jardin / terrain, - nombre de chambre(s) : 4, - box"
"maison familiale de 152 m2, composee au rdc d'un salon + sejour lumineux de 42 m2, une cuisine, wc, cellier et garage integre. a l'etage, 4 chambres dont 1 suite parentale avec salle d'eau, une salle de bains + wc. maison rt 2012 a haute isolation thermique, equipee d'un systeme de detection incendie, de gestion des consommations d'energie et d'un chauffage intelligent.belles prestations sur cette maison : isolation mousse polyurethane-ecran sous toiture-double vitrage-mitigeurs--vide sanitaire-cloisons placostyle et corniches en pierre.sur un terrain de 480m2 propose au prix de 531 535 hors frais de notaire. pour tous renseignements merci d'appeler au 01 45 36 54 40 de 10h a 12h et de 14h a 19h. n'hesitez pas a laisser un message, reference a rappeler bagneux869n.ste. maisons pierre",http://www.paruvendu.fr/immobilier/vente/default/ville-00000/1205869762A1KIVHMN000,,531535,maisons pierre - bagneux,vente maison 6 pieces 152 m2 environ a chatenay malabry (92290),"nombre de pieces : 6, surface : 152m, parking / garage, jardin / terrain, - nombre de chambre(s) : 4, - box"
"reference : phph2927872927911020cette maison contemporaine se presente avec un toit 4 pans.le rez-de-chaussee presente un sejour genereux, une belle cuisine, un cellier et integre un garage, l'etage offre deux belles chambres, une salle de bains, une suite parentale spacieuse avec dressing et terrasse.maisons berval vous propose un terrain pour construire cette maison : terrain a batir de 290 m2 a 5 minutes des commerces et pres de la gare d'ermont , arbore et clos sur une partie avec une facade d'environ 8m. pour tous renseignements contacter mr hetreau philippe au 0660619805 annonce proposee par un agent commercial partenaire. surface habitable : 101m2. nombre de pieces : 6. nombre de chambres : 3. nos offres de terrains sont proposees en collaboration avec nos partenaires fonciers pour des maisons dans le cadre de la loi du 10/12/1990, selon disponibilite. berval domexpo nord 95570 moisselles. prix terrain seul : 180000 euros. bien en copropriete : non",http://www.paruvendu.fr/immobilier/vente/default/ville-00000/1205869791A1KIVHMN000,,384000,groupe mfc,vente maison 6 pieces 101 m2 environ a eaubonne (95600),"nombre de pieces : 6, surface : 101m, parking / garage, balcon / terrasse, jardin / terrain, - nombre de chambre(s) : 3, - surface du terrain : 290, - box"
"bagnolet, aux portes de paris , proche de toutes commodites, magnifique maison contemporaine en bois de 2015, dessinee par un grand createur d'art, sur 3 niveaux, comprenant au rez de jardin un appartement independant de 53m2 avec 2 chambres, un salon avec cuisine ouverte, une salle d'eau et wc. au 1er etage une tres belle piece a vivre avec vue sublime sur paris offrant un volume de 72m2, dont une cuisine ouverte amenagee et entierement equipee. au 2eme etage une belle chambre lumineuse donnant acces a une terrasse en bois de 21m2 avec vue sur paris, un beau dressing, un espace bureau, une grande salle d'eau et wc. les plus : le grand volume de la piece a vivre avec vue magnifique maison bbc baies vitres en triple vitrage feuilletees 3 terrasses dont un toit terrasse de 54 m2 avec vue imprenable sur paris ne manquez pas cette maison de reve aux portes de paris... reseau immobilier capifrance - votre agent commercial delphine perrier 07 87 02 53 12 - voir photos (ref.4nom du negociateur : perrierdelphine statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/prestige/default/ville-00000/1205870479A1KIVHMN000,,1200000,sas capi,vente maison 7 pieces 183 m2 environ a bagnolet (93170),"nombre de pieces : 7, surface : 183m, balcon / terrasse, jardin / terrain, - nombre de chambre(s) : 3, - surface du terrain : 280, - terrasse, emission de gaz a effet de serre : 10 kgeq/m2.an, consommation energetique : 88 kwh/m2 an"
"asnieres sur seine, quartier bac maison mansard 6/7 pieces. au rdc avec grande hauteur sous plafond entree sejour, salle a manger, cuisine amenagee ouverte, salle d'eau, buanderie. a l'etage 2 chambres, une salle de bains et une suite parentale avec dressing douche a l'italienne et bureau. au sous-sol une chambre avec lumiere naturelle et une salle d'eau, cave et piece technique. toutes les salles d'eau incluent un wc. la maison a ete totalement renovee en 2015, isolation refaite et installation d'une vmc double flux. le jardin reste a amenager. la surface habitable est de 160 m2 plus sous-sol de 25 m2 amenage avec salle d'eau. la maison possede un garage, une cave, et deux terrasses, la surface de la parcelle est de 253 m2. proche des ecoles et du centre-ville cette maison est ideale pour une grande famille. a visiter rapidement ! reseau immobilier capifrance - votre agent commercial victor basse 07 81 04 92 86 - voir photos (ref.401202) sur www.capifrance.frnom du negociateur : bassevictor statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/prestige/default/ville-00000/1205870578A1KIVHMN000,,980000,sas capi,vente maison 6 pieces 160 m2 environ a asnieres sur seine (92600),"nombre de pieces : 6, surface : 160m, parking / garage, jardin / terrain, - nombre de chambre(s) : 4, - surface du terrain : 253, - terrasse, - cave"
"aulnay-sous-bois centre sud nonneville, quartier residentiel tres recherche pour son cadre de vie. un cachet indeniable pour cette jolie maison ancienne edifiee sur son terrain de 210 m2. elle dispose d'une entree, un double-sejour traversant (avec superbe plafond haut avec corniches et rosaces), et une cuisine avec acces direct sur le jardin. l'etage dispose de 3 chambres dont une avec sa propre salle de bains, puis une seconde salle de bains independante avec wc et une salle d'eau. belle construction construite sur sous-sol total abritant un garage et une buanderie. certes cette maison est a remettre au gout du jour, mais n'est-ce pas l'ideal pour avoir une maison qui vous ressemble ? chauffage gaz. beau parquet en chene. pour amateur d'authenticite. reseau immobilier capifrance - votre agent commercial valerie riviere 06 78 96 61 22 - voir photos (ref.400833) sur www.capifrance.frnom du negociateur : rivierevalerie statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/vente/default/ville-00000/1205870481A1KIVHMN000,,300000,sas capi,vente maison 5 pieces 92 m2 environ a aulnay sous bois (93600),"nombre de pieces : 5, surface : 92m, parking / garage, jardin / terrain, - nombre de chambre(s) : 3, - box"
"mlle merle 3g immo 06 68 80 03 38 vous propose de decouvrir cette maison de ville, non mitoyenne et renovee recement. elle se compose d'un double sejour avec cheminee de 35 m2 et d'une cuisine us amenagee. l'etage comprend, deux chambres avec cheminee et une salle de bains. au 2eme, grande chambre de 35 m2. rangements. sous sol total. entierement isolee. jardin clos. coup de coeur assure! envoyer rappel par sms au 06 68 80 03 38 votre agent commercial 3g immo sur place, immatricule au rsac de creteil sous le n 512 526 963 : tahirih merle, tel: 06 68 80 03 38 honoraire a la charge de l'acquereur : non bien en copropriete : non procedure sur le syndicat des coproprietaires : non",http://www.paruvendu.fr/immobilier/vente/default/ville-00000/1205875282A1KIVHMN000,,490000,3g immo - consultant reseau national,vente maison 5 pieces 105 m2 environ a st maur des fosses (94100),"nombre de pieces : 5, surface : 105m, jardin / terrain, emission de gaz a effet de serre : 9 kgeq/m2.an, consommation energetique : 299 kwh/m2 an"
"aulnay sous bois, centre sud, tres recherche pour sa proximite avec le boulevard de strasbourg et la gare rer, ce beau pavillon de 1995 vous propose ses 195 m2 habitables bien agences, avec des pieces spacieuses et lumineuses. le rez-de-chaussee (100 m2) s'ouvre sur une belle entree, puis, 2 superbes et vastes double-sejour (35/37 m2), une cuisine familiale, degagement avec grands dressing, wc et tres pratique : une buanderie. le niveau superieur : presente un agreable palier distribuant 3 belles chambres (14,14 et 23 m2) avec chacun un dressing, ainsi que 3 salles d'eau/salle de bains et wc. le volume permet aisement d'avoir 4 ou 5 chambres... le sous-sol total abrite un garage pour 2 vl, et une grande piece. vous aurez plaisir a profiter du jardin bien expose et nanti de sa terrasse de 35 m2. belles prestations. double-vitrage, chauffage gaz, alarme, portail electrifie, beaux parquets, interphone,... reseau immobilier capifrance - votre agent commercial valerie riviere 06 78nom du negociateur : rivierevalerie statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/vente/default/ville-00000/1205870587A1KIVHMN000,,499000,sas capi,vente maison 8 pieces 193 m2 environ a aulnay sous bois (93600),"nombre de pieces : 8, surface : 193m, parking / garage, balcon / terrasse, jardin / terrain, - nombre de chambre(s) : 3, - surface du terrain : 491, - terrasse, - box"
